0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
-58.0,-58.0,-57.431848281764296,-57.395311216155584,-57.36920300102199,-57.34911328226411,-57.33292624078538,-57.31946347609512,-57.30800259485961,-57.29806975681363,-56.00000000000001,-55.4219248262679,-54.84324224050701,-54.259048788211615,-53.67181798135062,-53.08334738590111,-53.07625063073501,-52.46554584065144,-51.867343817215094,-51.273143625683176,-37.0,-37.0,-37.56815239211755,-38.1475696999893,-38.18460041534455,-38.214346533248815,-38.12140784097367,-38.091526772472996,-37.833433138683546,-39.24899220586045,-35.0,-35.0,-35.0,-35.0,-35.0,-35.0,-35.0,-35.0,-35.0,-35.0,1.0
-58.0,-57.40804157402622,-57.37819676563307,-57.355803234044764,-57.33805149622402,-57.323456111244674,-57.31113729043997,-57.300532065877874,-57.291259234070026,-56.714098295499625,-55.0,-55.0,-54.43184815345241,-54.39531099850896,-53.818608909010976,-53.78804673811196,-53.199714805050384,-53.181265451952974,-52.582001996692945,-51.5315444427449,-37.0,-37.63716041247085,-37.65675380947616,-37.67266106820539,-37.68596363720419,-37.697334950032285,-37.707221896412214,-37.71593559223284,-38.293805141525446,-40.771948927849266,-35.0,-35.0,-35.0,-35.0,-35.0,-35.0,-35.0,-35.0,-35.0,-34.4318460891692,1.0
-57.0,-57.0,-57.0,-57.0,-57.0,-57.0,-57.0,-57.0,-57.0,-55.864018877235075,-55.0,-54.426836608323995,-54.39178644629409,-54.36647040575989,-54.34686656200519,-53.77096991248726,-53.74656842631513,-53.72641786653659,-53.135213062760194,-51.73921630327718,-38.0,-38.0,-38.0,-38.0,-38.0,-38.0,-38.0,-38.0,-39.70397024194462,-41.02597088915122,-35.0,-35.0,-35.0,-35.0,-35.0,-35.0,-35.0,-35.0,-34.43184642134513,-34.39530806044451,1.0
-57.0,-57.0,-57.0,-57.0,-57.0,-57.0,-57.0,-57.0,-56.431846243457144,-55.85245876997684,-54.0,-54.0,-54.0,-54.0,-54.0,-54.0,-54.0,-53.431846458336246,-52.852459261766505,-51.33030167268715,-38.0,-38.0,-38.0,-38.0,-38.0,-38.0,-38.0,-39.13630655346628,-39.88056184537492,-39.9248029351567,-35.0,-35.0,-35.0,-35.0,-35.0,-35.0,-35.0,-34.43184675371201,-34.395308624219,-34.36919959480993,1.0
-57.0,-57.0,-57.0,-57.0,-57.0,-57.0,-57.0,-56.43184657572177,-56.39530832230465,-55.81860428806816,-54.0,-54.0,-54.0,-54.0,-54.0,-54.0,-53.43184679072439,-53.395308687000906,-52.39333427312714,-50.99849602533773,-38.0,-38.0,-38.0,-38.0,-38.0,-38.0,-38.56815373750622,-39.14757277846658,-39.184604668185514,-39.21435176657033,-35.0,-35.0,-35.0,-35.0,-35.0,-35.0,-34.43184708627003,-34.395309188317,-34.369200336124756,-34.34911010492889,1.0
-57.0,-57.0,-57.0,-57.0,-57.0,-57.0,-56.43184690817741,-56.39530888622938,-56.369199939133495,-55.793282281271495,-54.0,-54.0,-54.0,-54.0,-54.0,-53.43184712330371,-53.39530925113495,-52.81860589186262,-52.23739811282681,-51.11921846726005,-38.0,-38.0,-38.0,-38.0,-38.0,-38.568153404778435,-38.604690284696254,-38.63079897947469,-38.65088908337863,-38.667076444302445,-35.0,-35.0,-35.0,-35.0,-35.0,-34.43184741901938,-34.395309752738825,-34.36920107786436,-34.34911098930004,-34.33292364076717,1.0
-57.0,-57.0,-57.0,-57.0,-57.0,-56.4318472408243,-56.39530945047778,-56.36920068064561,-56.34911051569889,-55.77332299385606,-54.0,-54.0,-54.0,-54.0,-53.43184745607437,-53.395309815592846,-53.369201160464435,-52.793284155961274,-52.214087235414915,-51.09240778395859,-38.0,-38.0,-38.0,-38.0,-38.56815307185917,-38.604689719979945,-38.63079823734882,-38.65088819854771,-38.66707544098178,-38.435585573242555,-35.0,-35.0,-35.0,-35.0,-34.431847751960234,-34.39531031748479,-34.36920182002917,-34.34911187417733,-34.332924644140334,-34.319461719360014,1.0
-57.0,-57.0,-57.0,-57.0,-56.43184757366258,-56.39531001505015,-56.369201422582684,-56.34911140030511,-56.332924106810935,-55.7570154820482,-54.0,-54.0,-54.0,-53.43184778903656,-53.395310380374916,-53.36920190267661,-53.349111972717175,-52.77332508625922,-52.195238831850595,-51.07026090388042,-38.0,-38.0,-38.0,-38.56815273874823,-38.60468915493922,-38.63079749479739,-38.65088731321022,-38.66707443708757,-38.435585895128874,-37.85757871029156,-35.0,-35.0,-35.0,-34.43184808509279,-34.395310882555215,-34.36920256261958,-34.34911275956124,-34.33292564808711,-34.3194628239693,-34.308001891433804,1.0
-57.0,-57.0,-57.0,-56.43184790669247,-56.3953105799468,-56.36920216494514,-56.34911228541768,-56.332925110450496,-56.319462232425714,-56.308001253355705,-54.0,-54.0,-53.43184812219046,-53.39531094548147,-53.369202645314424,-53.349112858157504,-53.33292575988648,-52.7570177544887,-52.179567815062306,-51.051561217474095,-38.0,-38.0,-38.56815240544544,-38.60468858957376,-38.630796751819986,-38.650886427365656,-38.66707343261923,-38.4355862171997,-38.39913993572167,-37.82392384386948,-35.0,-35.0,-34.43184841841721,-34.39531144795039,-34.369203305635985,-34.34911364545224,-34.33292665260804,-34.31946392920945,-34.308003083618345,-34.29807027674068,1.0
-57.0,-57.0,-56.431848239914125,-56.395311145168044,-56.36920290773342,-56.349113171037104,-56.332926114663934,-56.31946333732799,-56.30800244517628,-56.298069597584906,-54.0,-53.43002528643019,-53.3940340275714,-53.36821445709363,-53.34830097965526,-53.33223134728778,-53.31885156053458,-52.74268018591382,-52.16557023868046,-50.79238150149166,-38.0,-38.627760138175255,-38.649236372506515,-38.66641302740054,-38.68062410130146,-38.692674387454595,-38.434672497714025,-38.39787068243304,-38.37172241934196,-37.363604550582544,-35.0,-34.34434169145519,-34.32810141436078,-34.31455002999561,-34.302984814542015,-34.292942116446774,-34.28410031071166,-34.27622758507732,-34.26915163538407,-34.262741102825615,1.0
-57.0,-56.41554998024616,-56.38369527583278,-56.36014531616558,-56.34164953334231,-56.32653974324683,-56.31384685072375,-56.30295917284655,-56.293466745265725,-56.564889931340865,-53.0,-53.0,-53.0,-53.0,-53.0,-53.0,-53.0,-52.43184644259387,-51.85245922573728,-50.33030153742758,-39.0,-39.0,-39.0,-39.0,-39.0,-38.43184737088189,-38.39530967108627,-38.36920097056002,-37.79328386446651,-37.214086837282906,-34.0,-34.0,-34.0,-34.0,-34.0,-34.0,-34.0,-34.0,-34.0,-34.0,1.0
